Distillation:  15%|███████                                        | 1499/10000 [18:24<1:44:07,  1.36it/s, align=0.7373, distill=5.9808, loss=15.7307]
Step 6400 | Loss: 10.4497 | L_distill: 0.7795 | L_align: 0.9316 | L_KL: 3.5454
Step 6450 | Loss: 27.0133 | L_distill: 11.3131 | L_align: 0.9481 | L_KL: 62.1946
Step 6500 | Loss: 159.5511 | L_distill: 106.2231 | L_align: 0.8580 | L_KL: 447.4769
Saved checkpoints to checkpoints/distill_e2e
Step 6550 | Loss: 751.1989 | L_distill: 504.5094 | L_align: 0.8749 | L_KL: 2379.4048
Step 6600 | Loss: 14.3299 | L_distill: 2.9338 | L_align: 1.0271 | L_KL: 11.2535
Step 6650 | Loss: 18.2870 | L_distill: 6.5985 | L_align: 0.8976 | L_KL: 27.1229
Step 6700 | Loss: 56.3954 | L_distill: 33.5571 | L_align: 0.8818 | L_KL: 140.2071
Step 6750 | Loss: 370.7159 | L_distill: 256.3500 | L_align: 0.7428 | L_KL: 1069.3748
Step 6800 | Loss: 1139.5291 | L_distill: 795.0027 | L_align: 0.8232 | L_KL: 3362.9395
Step 6850 | Loss: 160.9832 | L_distill: 106.3974 | L_align: 0.6954 | L_KL: 476.3175
Step 6900 | Loss: 17.4396 | L_distill: 4.0440 | L_align: 1.1281 | L_KL: 21.1425
Step 6950 | Loss: 518.6387 | L_distill: 341.7716 | L_align: 0.6156 | L_KL: 1707.1128
Step 7000 | Loss: 678.1522 | L_distill: 473.7327 | L_align: 0.8936 | L_KL: 1954.8309
Saved checkpoints to checkpoints/distill_e2e
Step 7050 | Loss: 152.3748 | L_distill: 98.8645 | L_align: 0.9338 | L_KL: 441.7200
Step 7100 | Loss: 17.5826 | L_distill: 6.5234 | L_align: 0.8522 | L_KL: 25.3708
Step 7150 | Loss: 9.9310 | L_distill: 1.1148 | L_align: 0.8314 | L_KL: 5.0178
Step 7200 | Loss: 10.7548 | L_distill: 0.7086 | L_align: 0.9758 | L_KL: 2.8801
Step 7250 | Loss: 10.2574 | L_distill: 1.3741 | L_align: 0.8322 | L_KL: 5.6111
Step 7300 | Loss: 9.2694 | L_distill: 1.4783 | L_align: 0.7145 | L_KL: 6.4587
